Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading name,Business address,Industry (ANZSIC4) code,Industry (ANZSIC4) description,Seating type,Number of seats,Longitude,Latitude,location
2007,13,106438,106438,14-40 Market Street MELBOURNE 3000,Melbourne (CBD),Koury's Coffee Lounge,"Part Ground , 389 Market Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,25,144.9611428362183,-37.81850986002563,"-37.81850986002563, 144.9611428362183"
2007,14,103165,103165,1-5 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),Subway,"Unit 3, Ground , 1-5 Elizabeth Street MELBOURNE 3000",4512,Takeaway Food Services,Seats - Indoor,14,144.96461741084877,-37.81805796983434,"-37.81805796983434, 144.96461741084877"
2007,14,103166,103166,7-9 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),Pepperoni's,7A Elizabeth Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Indoor,70,144.9645599261084,-37.81793330485573,"-37.81793330485573, 144.9645599261084"
2007,14,103167,103167,11-15 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),McDonald's,11-15 Elizabeth Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Outdoor,12,144.9645087687041,-37.817830399089104,"-37.817830399089104, 144.9645087687041"
2007,14,103946,103946,313-315 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Mack Daddy Soprano,"Unit 1, Basement , 313-315 Flinders Lane MELBOURNE 3000",4520,"Pubs, Taverns and Bars",Seats - Indoor,60,144.96386031352995,-37.817641319866794,"-37.817641319866794, 144.96386031352995"
2007,14,103947,103947,317-323 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Grand Mercure Hotel,321 Flinders Lane MELBOURNE 3000,4400,Accommodation,Seats - Indoor,20,144.9637651207598,-37.81773299440478,"-37.81773299440478, 144.9637651207598"
2007,14,103948,103948,325-331 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Glick's Cakes & Bagels,"Part Ground , 325 Flinders Lane MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,30,144.9635004630143,-37.81775969274295,"-37.81775969274295, 144.9635004630143"
2007,14,103950,103950,335-339 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Pronto On Flinders,"Part Ground , 335 Flinders Lane MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,53,144.96323530453128,-37.81784850738318,"-37.81784850738318, 144.96323530453128"
2007,14,103952,103952,349-351 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Bluestone,349 Flinders Lane MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Indoor,140,144.9628671327705,-37.81787421463223,"-37.81787421463223, 144.9628671327705"
2007,14,103953,103953,353-355 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Degani Bakery Cafe,"Ground , 353 Flinders Lane MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,60,144.9627541135865,-37.81786117096068,"-37.81786117096068, 144.9627541135865"
2007,14,104006,104006,318-332 Flinders Street MELBOURNE 3000,Melbourne (CBD),Rendezvous Hotels,328 Flinders Street MELBOURNE 3000,4400,Accommodation,Seats - Indoor,100,144.96357963298587,-37.8181965488308,"-37.8181965488308, 144.96357963298587"
2007,14,104007,104007,300-316 Flinders Street MELBOURNE 3000,Melbourne (CBD),Buffet Brasserie,"Shop 1, Ground , 300 Flinders Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,20,144.96400528370816,-37.818058974306865,"-37.818058974306865, 144.96400528370816"
2007,14,104007,104007,300-316 Flinders Street MELBOURNE 3000,Melbourne (CBD),Buffet Brasserie,"Shop 1, Ground , 300 Flinders Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,82,144.96400528370816,-37.818058974306865,"-37.818058974306865, 144.96400528370816"
2007,14,104008,104008,292-298 Flinders Street MELBOURNE 3000,Melbourne (CBD),Vita Juice Energy For Life,298 Flinders Street MELBOURNE 3000,4512,Takeaway Food Services,Seats - Indoor,11,144.964364284727,-37.81807375640853,"-37.81807375640853, 144.964364284727"
2007,14,104008,104008,292-298 Flinders Street MELBOURNE 3000,Melbourne (CBD),Kimchi Tray,294 Flinders Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Indoor,40,144.964364284727,-37.81807375640853,"-37.81807375640853, 144.964364284727"
2007,14,108114,108114,28-38 Queen Street MELBOURNE 3000,Melbourne (CBD),Cafe 34,"Shop 2, 34 Queen Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,16,144.96244692064585,-37.81799106668407,"-37.81799106668407, 144.96244692064585"
2007,14,108114,108114,28-38 Queen Street MELBOURNE 3000,Melbourne (CBD),Cafe 34,"Shop 2, 34 Queen Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,42,144.96244692064585,-37.81799106668407,"-37.81799106668407, 144.96244692064585"
2007,14,108114,108114,28-38 Queen Street MELBOURNE 3000,Melbourne (CBD),Hudsons Coffee,"Ground , 359-365 Queen Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,12,144.96244692064585,-37.81799106668407,"-37.81799106668407, 144.96244692064585"
2007,14,108115,108115,20-26 Queen Street MELBOURNE 3000,Melbourne (CBD),Maha Bar & Grill,"Basement , 21-27 Queen Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,20,144.96253974509804,-37.81819441366878,"-37.81819441366878, 144.96253974509804"
2007,15,103326,103326,281-291 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Migo's,"Shop 2, 289 Flinders Lane MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,16,144.96494250965242,-37.81718804059663,"-37.81718804059663, 144.96494250965242"
2007,15,103328,103328,274-282 Flinders Street MELBOURNE 3000,Melbourne (CBD),Box Coffee,10-282 Flinders Street MELBOURNE 3000,4512,Takeaway Food Services,Seats - Indoor,12,144.96509524887,-37.817661287798394,"-37.817661287798394, 144.96509524887"
2007,15,103940,103940,241-243 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Roule Galette,5 Flinders Lane MELBOURNE 3000,4512,Takeaway Food Services,Seats - Outdoor,10,144.96631217224734,-37.81686107019438,"-37.81686107019438, 144.96631217224734"
