street_address,industry,total_businesses_historical,avg_lifespan_historical,median_lifespan_historical,success_rate_12yrs,avg_seats_historical,current_businesses_2023,avg_seats_2023,total_seats_2023,mean_current_comp_200m,mean_current_comp_50m,median_current_comp_200m,clue_area,clue_avg_lifespan,clue_success_rate,vs_area_benchmark,better_than_area
A'beckett Street,Cafes,10,5.3,3.5,20,92.5,9,88,792,44,5,44,Melbourne (CBD),6.867146282973621,18.80095923261391,-1.5671462829736216,FALSE
Abbotsford Street,Takeaway,3,8,1,33.33333333333333,16.666666666666668,1,8,8,3,0,3,North Melbourne,7.470588235294118,21.568627450980394,0.5294117647058822,TRUE
Agnes Street,Cafes,3,5.666666666666667,4,0,46,0,0,0,0,NA,NA,East Melbourne,8.106666666666667,28.000000000000004,-2.4400000000000004,FALSE
Albert Street,Cafes,12,9,8,25,113.25,2,70,141,4,2,4,East Melbourne,8.106666666666667,28.000000000000004,0.8933333333333326,TRUE
Albert Street,Takeaway,4,5.75,2,25,19.25,1,21,21,4,2,4,East Melbourne,6.416666666666667,16.666666666666664,-0.666666666666667,FALSE
Alexandra Avenue,Cafes,3,12.333333333333334,13,66.66666666666666,306.6666666666667,2,282,563,1,1,1,Melbourne (Remainder),8.677966101694915,30.508474576271187,3.6553672316384187,TRUE
Alfred Place,Cafes,5,3.2,2,0,136.8,0,0,0,0,NA,NA,Melbourne (CBD),6.867146282973621,18.80095923261391,-3.667146282973621,FALSE
Bank Place,Cafes,4,11,11,50,84.5,2,92,185,54,7,54.5,Melbourne (CBD),6.867146282973621,18.80095923261391,4.132853717026379,TRUE
Bellair Street,Cafes,10,8,9,30,39.4,5,58,289,16,3,16,Kensington,6.205128205128205,12.82051282051282,1.7948717948717947,TRUE
Berkeley Street,Cafes,4,10.25,10,25,91.25,3,99,298,10,1,10,Carlton,7.338541666666667,22.65625,2.911458333333333,TRUE
Block Place,Cafes,4,5.75,5.5,0,77.5,2,96,192,70,10,70.5,Melbourne (CBD),6.867146282973621,18.80095923261391,-1.1171462829736214,FALSE
Bourke Street,Cafes,333,7.195195195195195,5,20.12012012012012,77.67267267267268,123,78,9572,70,7,71,Melbourne (CBD),6.867146282973621,18.80095923261391,0.32804891222157373,TRUE
Bourke Street,Takeaway,84,5.345238095238095,4,10.714285714285714,19.464285714285715,14,12,173,66,8,60,Melbourne (CBD),5.639175257731959,12.199312714776632,-0.29393716249386426,FALSE
Brens Drive,Cafes,3,7.333333333333333,5,33.33333333333333,49.333333333333336,1,60,60,0,0,0,Parkville,6.472727272727273,14.545454545454545,0.8606060606060604,TRUE
Caravel Lane,Cafes,10,7.3,4.5,20,146.1,3,72,216,15,2,15,Docklands,6.1003344481605355,13.377926421404682,1.1996655518394643,TRUE
Cardigan Street,Cafes,12,6.083333333333333,4,25,53.583333333333336,7,58,404,34,1,28,Carlton,7.338541666666667,22.65625,-1.255208333333334,FALSE
Cardigan Street,Takeaway,4,10.75,10.5,25,23.25,1,25,25,45,3,45,Carlton,6.523809523809524,17.46031746031746,4.226190476190476,TRUE
City Road,Cafes,15,6.333333333333333,4,20,65.73333333333333,12,49,588,9,1,7.5,Southbank,7.5495049504950495,25.247524752475247,-1.2161716171617165,FALSE
City Road,Takeaway,7,8,4,28.57142857142857,9.142857142857142,2,13,26,8,3,8,Southbank,7.37037037037037,25.925925925925924,0.6296296296296298,TRUE
Clarendon Street,Cafes,7,5.571428571428571,2,14.285714285714285,147.28571428571428,4,99,396,6,0,5.5,East Melbourne,8.106666666666667,28.000000000000004,-2.535238095238096,FALSE
Collins Street,Cafes,273,6.5787545787545785,5,15.75091575091575,79.28205128205128,119,72,8553,47,5,48,Melbourne (CBD),6.867146282973621,18.80095923261391,-0.2883917042190429,FALSE
Collins Street,Takeaway,70,6.985714285714286,5.5,21.428571428571427,21.514285714285716,21,18,368,48,4,50,Melbourne (CBD),5.639175257731959,12.199312714776632,1.3465390279823266,TRUE
Convention Centre Place,Cafes,12,6.083333333333333,5,8.333333333333332,156.25,8,126,1007,8,7,8,Southbank,7.5495049504950495,25.247524752475247,-1.4661716171617165,FALSE
Corrs Lane,Cafes,6,7.833333333333333,5,33.33333333333333,79.66666666666667,1,98,98,100,11,100,Melbourne (CBD),6.867146282973621,18.80095923261391,0.9661870503597116,TRUE
Coventry Street,Cafes,4,6.25,4,25,87,4,101,405,8,1,7.5,Southbank,7.5495049504950495,25.247524752475247,-1.2995049504950495,FALSE
Crossley Street,Cafes,3,14,16,66.66666666666666,71.66666666666667,3,102,306,81,9,83,Melbourne (CBD),6.867146282973621,18.80095923261391,7.132853717026379,TRUE
Docklands Drive,Cafes,32,4.3125,4,3.125,132.375,7,102,711,15,3,13,Docklands,6.1003344481605355,13.377926421404682,-1.7878344481605355,FALSE
Domain Road,Cafes,12,9.75,7.5,33.33333333333333,96.33333333333333,6,101,604,6,5,6,South Yarra,8.5625,25,1.1875,TRUE
Dorcas Street,Cafes,6,6.833333333333333,6.5,16.666666666666664,71.66666666666667,3,59,176,5,0,6,Southbank,7.5495049504950495,25.247524752475247,-0.7161716171617165,FALSE
Drummond Street,Cafes,13,7.3076923076923075,3,30.76923076923077,79.46153846153847,5,90,451,30,1,30,Carlton,7.338541666666667,22.65625,-0.030849358974359475,FALSE
Elgin Street,Cafes,23,5.913043478260869,5,13.043478260869565,75.47826086956522,6,48,291,21,1,23.5,Carlton,7.338541666666667,22.65625,-1.4254981884057978,FALSE
Elgin Street,Takeaway,9,3.5555555555555554,2,0,19.22222222222222,2,12,23,22,2,22.5,Carlton,6.523809523809524,17.46031746031746,-2.9682539682539684,FALSE
Elizabeth Street,Cafes,105,6.6380952380952385,4,14.285714285714285,60.84761904761905,52,65,3395,59,5,55,Melbourne (CBD),6.867146282973621,18.80095923261391,-0.2290510448783829,FALSE
Elizabeth Street,Takeaway,46,6.434782608695652,4,21.73913043478261,18.17391304347826,12,13,161,60,5,62,Melbourne (CBD),5.639175257731959,12.199312714776632,0.7956073509636932,TRUE
Epsom Road,Cafes,7,7.142857142857143,6,14.285714285714285,59.57142857142857,5,70,348,2,2,3,Kensington,6.205128205128205,12.82051282051282,0.937728937728938,TRUE
Errol Street,Cafes,30,8.666666666666666,5.5,30,46.333333333333336,18,53,946,25,3,28,North Melbourne,7.5,21.551724137931032,1.166666666666666,TRUE
Errol Street,Takeaway,11,7.181818181818182,4,27.27272727272727,16,3,22,66,30,6,29,North Melbourne,7.470588235294118,21.568627450980394,-0.2887700534759361,FALSE
Exhibition Street,Cafes,85,7.0588235294117645,6,17.647058823529413,66.15294117647059,32,81,2593,60,6,50.5,Melbourne (CBD),6.867146282973621,18.80095923261391,0.1916772464381431,TRUE
Exhibition Street,Takeaway,13,5.846153846153846,4,15.384615384615385,14.76923076923077,6,13,78,76,5,85.5,Melbourne (CBD),5.639175257731959,12.199312714776632,0.20697858842188666,TRUE
Faraday Street,Cafes,7,12.285714285714286,12,42.857142857142854,125.57142857142857,7,132,923,39,4,42,Carlton,7.338541666666667,22.65625,4.9471726190476195,TRUE
Flemington Road,Cafes,21,7.9523809523809526,5,19.047619047619047,103.52380952380952,19,60,1136,9,3,7,North Melbourne,7.5,21.551724137931032,0.45238095238095255,TRUE
Flemington Road,Takeaway,4,4,2,0,23.75,2,16,31,13,3,13,North Melbourne,7.470588235294118,21.568627450980394,-3.4705882352941178,FALSE
Flinders Lane,Cafes,99,6.646464646464646,4,16.161616161616163,74.39393939393939,49,86,4216,58,6,52,Melbourne (CBD),6.867146282973621,18.80095923261391,-0.2206816365089752,FALSE
Flinders Lane,Takeaway,33,8.121212121212121,5,27.27272727272727,15.696969696969697,12,15,179,67,8,73.5,Melbourne (CBD),5.639175257731959,12.199312714776632,2.482036863480162,TRUE
Flinders Street,Cafes,63,7.761904761904762,6,23.809523809523807,61.93650793650794,26,86,2229,39,4,37,Melbourne (CBD),6.867146282973621,18.80095923261391,0.8947584789311405,TRUE
Flinders Street,Takeaway,37,5.351351351351352,4,10.81081081081081,13,13,11,137,47,6,45,Melbourne (CBD),5.639175257731959,12.199312714776632,-0.2878239063806074,FALSE
Footscray Road,Cafes,8,9.125,11.5,50,58.5,0,0,0,0,NA,NA,West Melbourne (Industrial),8.444444444444445,44.44444444444444,0.6805555555555554,TRUE
Franklin Street,Cafes,14,6.285714285714286,4,21.428571428571427,47.57142857142857,11,66,728,39,6,45,Melbourne (CBD),6.867146282973621,18.80095923261391,-0.5814319972593358,FALSE
Freshwater Place,Cafes,20,7.6,6.5,20,92.8,8,132,1057,24,10,24,Southbank,7.5495049504950495,25.247524752475247,0.050495049504950096,TRUE
Freshwater Place,Takeaway,6,6.833333333333333,5,16.666666666666664,17.333333333333332,3,11,34,24,10,24,Southbank,7.37037037037037,25.925925925925924,-0.5370370370370372,FALSE
Gatehouse Drive,Cafes,3,6.333333333333333,8,0,36.666666666666664,0,0,0,0,NA,NA,Kensington,6.205128205128205,12.82051282051282,0.12820512820512775,TRUE
Grattan Street,Cafes,39,5.641025641025641,3,12.82051282051282,86.05128205128206,13,81,1048,26,4,9,Parkville,6.472727272727273,14.545454545454545,-0.8317016317016312,FALSE
Grattan Street,Takeaway,24,6.291666666666667,4,20.833333333333336,23.25,8,27,213,22,7,9,Parkville,5.222222222222222,14.814814814814813,1.0694444444444446,TRUE
Haines Street,Takeaway,4,12.75,14.5,50,9.75,3,10,29,3,2,3,North Melbourne,7.470588235294118,21.568627450980394,5.279411764705882,TRUE
Harbour Esplanade,Cafes,17,7.882352941176471,6,23.52941176470588,421.6470588235294,5,70,348,10,2,9,Docklands,6.1003344481605355,13.377926421404682,1.7820184930159355,TRUE
Hardware Lane,Cafes,22,8.454545454545455,6.5,22.727272727272727,94.13636363636364,13,99,1286,91,15,90,Melbourne (CBD),6.867146282973621,18.80095923261391,1.5873991715718336,TRUE
Hardware Street,Cafes,8,5.125,3.5,0,38.125,4,61,243,75,10,74.5,Melbourne (CBD),6.867146282973621,18.80095923261391,-1.7421462829736214,FALSE
Hardware Street,Takeaway,5,2.6,2,0,18.6,1,2,2,88,5,88,Melbourne (CBD),5.639175257731959,12.199312714776632,-3.039175257731959,FALSE
Heffernan Lane,Cafes,5,4.8,4,0,79.2,1,98,98,138,13,138,Melbourne (CBD),6.867146282973621,18.80095923261391,-2.0671462829736216,FALSE
Howard Street,Cafes,3,3,3,0,69,3,70,211,12,2,10,North Melbourne,7.5,21.551724137931032,-4.5,FALSE
Kavanagh Street,Cafes,8,3.5,2,0,42.5,3,47,140,6,1,6,Southbank,7.5495049504950495,25.247524752475247,-4.0495049504950495,FALSE
Kensington Road,Takeaway,3,5,2,0,19.666666666666668,1,61,61,0,0,0,West Melbourne (Industrial),6,0,-1,FALSE
King Street,Cafes,74,6.3108108108108105,5,17.56756756756757,63.2027027027027,26,67,1736,44,3,43.5,Melbourne (CBD),6.867146282973621,18.80095923261391,-0.5563354721628109,FALSE
King Street,Takeaway,12,8.333333333333334,5.5,25,17.666666666666668,5,17,87,51,3,50,Melbourne (CBD),5.639175257731959,12.199312714776632,2.6941580756013748,TRUE
La Trobe Street,Cafes,103,5.621359223300971,4,13.592233009708737,84.1747572815534,36,82,2967,58,12,56,Melbourne (CBD),6.867146282973621,18.80095923261391,-1.2457870596726508,FALSE
La Trobe Street,Takeaway,43,5.116279069767442,3,9.30232558139535,14.023255813953488,9,26,236,88,27,93,Melbourne (CBD),5.639175257731959,12.199312714776632,-0.5228961879645171,FALSE
Lincoln Square,Cafes,3,8.666666666666666,8,33.33333333333333,43,2,50,101,18,0,18,Carlton,7.338541666666667,22.65625,1.3281249999999991,TRUE
Little Bourke Street,Cafes,117,7.145299145299146,5,21.367521367521366,76.24786324786325,50,91,4567,95,9,87,Melbourne (CBD),6.867146282973621,18.80095923261391,0.2781528623255243,TRUE
Little Bourke Street,Takeaway,7,5.285714285714286,3,14.285714285714285,16.571428571428573,6,16,96,86,13,86,Melbourne (CBD),5.639175257731959,12.199312714776632,-0.35346097201767357,FALSE
Little Collins Street,Cafes,99,7.909090909090909,6,24.242424242424242,59.62626262626262,52,61,3186,59,6,57,Melbourne (CBD),6.867146282973621,18.80095923261391,1.0419446261172878,TRUE
Little Collins Street,Takeaway,68,4.779411764705882,3,8.823529411764707,13.926470588235293,16,17,271,61,7,62,Melbourne (CBD),5.639175257731959,12.199312714776632,-0.8597634930260769,FALSE
Little La Trobe Street,Cafes,8,4.5,4,0,41.125,5,71,356,77,7,78,Melbourne (CBD),6.867146282973621,18.80095923261391,-2.3671462829736214,FALSE
Little Lonsdale Street,Cafes,106,5.783018867924528,4,13.20754716981132,70.31132075471699,38,72,2746,66,14,55,Melbourne (CBD),6.867146282973621,18.80095923261391,-1.0841274150490934,FALSE
Little Lonsdale Street,Takeaway,25,5.04,4,4,16.92,8,19,150,77,17,78,Melbourne (CBD),5.639175257731959,12.199312714776632,-0.5991752577319591,FALSE
Liverpool Street,Cafes,10,9.6,8,30,48.5,2,54,109,66,8,66,Melbourne (CBD),6.867146282973621,18.80095923261391,2.7328537170263782,TRUE
Lonsdale Street,Cafes,179,5.754189944134078,4,14.52513966480447,68.30167597765363,68,77,5225,82,10,92.5,Melbourne (CBD),6.867146282973621,18.80095923261391,-1.1129563388395436,FALSE
Lonsdale Street,Takeaway,44,4.204545454545454,3,0,17.045454545454547,14,15,208,92,14,97,Melbourne (CBD),5.639175257731959,12.199312714776632,-1.434629803186505,FALSE
Lorimer Street,Cafes,20,5.65,4.5,10,91.6,7,106,744,2,1,2,Docklands,6.1003344481605355,13.377926421404682,-0.45033444816053514,FALSE
Lygon Street,Cafes,183,7.814207650273224,5,24.59016393442623,82.07103825136612,69,100,6903,39,5,40,Carlton,7.338541666666667,22.65625,0.4756659836065573,TRUE
Lygon Street,Takeaway,21,6.380952380952381,3,19.047619047619047,20.61904761904762,4,18,71,39,5,42,Carlton,6.523809523809524,17.46031746031746,-0.14285714285714235,FALSE
Macaulay Road,Cafes,14,6.642857142857143,4,14.285714285714285,37.785714285714285,9,45,402,12,2,14,Kensington,6.205128205128205,12.82051282051282,0.43772893772893795,TRUE
Macaulay Road,Takeaway,11,7,6,27.27272727272727,13.272727272727273,4,16,65,12,2,15,Kensington,7.2,30,-0.20000000000000018,FALSE
Market Lane,Cafes,6,11.333333333333334,12,50,105,4,112,446,114,10,111,Melbourne (CBD),6.867146282973621,18.80095923261391,4.4661870503597125,TRUE
Market Street,Cafes,9,7.333333333333333,7,22.22222222222222,66.66666666666667,3,88,263,40,2,44,Melbourne (CBD),6.867146282973621,18.80095923261391,0.46618705035971164,TRUE
Mckillop Street,Cafes,7,6.285714285714286,4,14.285714285714285,91.71428571428571,1,132,132,85,4,85,Melbourne (CBD),6.867146282973621,18.80095923261391,-0.5814319972593358,FALSE
Meyers Place,Cafes,4,9.25,6.5,25,61.25,3,52,155,51,4,51,Melbourne (CBD),6.867146282973621,18.80095923261391,2.3828537170263786,TRUE
Newquay Promenade,Cafes,22,9.227272727272727,10,31.818181818181817,163.86363636363637,7,180,1261,13,1,15,Docklands,6.1003344481605355,13.377926421404682,3.126938279112191,TRUE
Nicholson Street,Cafes,11,6.818181818181818,6,18.181818181818183,125,5,160,800,2,0,1,Carlton,7.338541666666667,22.65625,-0.5203598484848486,FALSE
Peel Street,Cafes,14,9.071428571428571,7,28.57142857142857,35.857142857142854,6,48,289,17,2,19,Melbourne (CBD),6.867146282973621,18.80095923261391,2.20428228845495,TRUE
Peel Street,Takeaway,8,3.875,3.5,0,23.625,1,20,20,23,5,23,Melbourne (CBD),5.639175257731959,12.199312714776632,-1.7641752577319592,FALSE
Pelham Street,Cafes,13,9.23076923076923,7,30.76923076923077,44.30769230769231,5,43,215,11,1,10,Carlton,7.338541666666667,22.65625,1.892227564102563,TRUE
Phillip Court,Cafes,5,12.6,14,80,52.8,5,51,253,4,4,4,Port Melbourne,11.235294117647058,58.82352941176471,1.3647058823529417,TRUE
Powlett Street,Cafes,3,9,4,33.33333333333333,58.666666666666664,2,44,87,3,1,3,East Melbourne,8.106666666666667,28.000000000000004,0.8933333333333326,TRUE
