lifespan_numeric,industry_cafe,log_seats,outdoor_seating,mixed_seating,same_ind,other_ind,on_best_street,on_worst_street,clue_melbourne__cbd_,clue_carlton,clue_docklands,clue_southbank,clue_north_melbourne,clue_west_melbourne__residential_,clue_east_melbourne,clue_parkville,clue_melbourne__remainder_,clue_kensington,property_competition
1,0,2.3978952727983707,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,3.367295829986474,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,0,2.5649493574615367,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13,1,3.912023005428146,0,1,66,18,0,0,1,0,0,0,0,0,0,0,0,0,0
13,1,4.77912349311153,0,1,20,2,0,0,1,0,0,0,0,0,0,0,0,0,0
4,1,4.762173934797756,0,1,70,8,0,0,1,0,0,0,0,0,0,0,0,0,0
14,1,3.6109179126442243,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,3.9889840465642745,0,1,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0
2,0,3.044522437723423,0,0,1,11,0,0,0,0,0,0,0,0,1,0,0,0,0
2,0,3.044522437723423,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0
4,1,3.8918202981106265,0,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,1,4.276666119016055,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,1,4.04305126783455,0,1,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0
12,1,3.6635616461296463,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0
9,1,6.55250788703459,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,1,3.4339872044851463,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,0,3.044522437723423,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7,1,4.8283137373023015,0,1,43,8,0,1,1,0,0,0,0,0,0,0,0,0,0
2,1,4.61512051684126,0,0,110,18,0,1,1,0,0,0,0,0,0,0,0,0,1
3,1,5.225746673713202,0,0,122,19,0,1,1,0,0,0,0,0,0,0,0,0,0
2,1,5.25227342804663,0,1,98,17,0,1,1,0,0,0,0,0,0,0,0,0,0
2,1,4.454347296253507,0,0,110,18,0,1,1,0,0,0,0,0,0,0,0,0,1
10,1,3.258096538021482,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,2.8903717578961645,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,0,2.8903717578961645,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,3.8501476017100584,0,1,47,18,0,0,0,0,0,0,1,0,0,0,0,0,0
16,1,4.204692619390966,0,1,85,16,0,0,1,0,0,0,0,0,0,0,0,0,0
6,1,4.394449154672439,0,0,40,6,0,0,1,0,0,0,0,0,0,0,0,0,0
4,1,4.477336814478207,0,1,34,6,0,0,1,0,0,0,0,0,0,0,0,0,0
18,1,4.663439094112067,0,1,61,12,0,0,1,0,0,0,0,0,0,0,0,0,0
8,1,8.511376306094673,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,1,3.6109179126442243,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,1,4.2626798770413155,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6,1,4.110873864173311,0,0,11,4,0,0,0,1,0,0,0,0,0,0,0,0,0
15,1,4.61512051684126,0,1,15,4,0,0,0,1,0,0,0,0,0,0,0,0,0
16,0,3.091042453358316,0,1,19,58,0,0,1,0,0,0,0,0,0,0,0,0,0
2,1,4.653960350157523,0,1,180,110,0,0,1,0,0,0,0,0,0,0,0,0,0
