property_id,business_id,census_year,industry,clue_area,trading_name,business_address,building_address,seating_type,num_seats,lifespan_years,lifespan_group,lon,lat,businesses_at_property,bias_filter,business_status,analysis_usage,street_address,street_avg_lifespan,street_success_rate,street_median_seats,total_businesses,reliability,street_stats_imputed,competitors_300m,same_industry_300m,other_industry_300m,high_competition,industry_ratio,competition_cat,lifespan_numeric,industry_cafe,log_seats,size_small,size_medium,size_large,comp_300m,same_ind_300m,other_ind_300m,comp_density,industry_dominance,high_comp,very_high_comp,isolated,entry_year_norm,is_recent,dist_cbd,property_crowding,street_phillip_court,street_market_lane,street_rakaia_way,street_street,street_footscray_road,street_faraday_street,street_queens_bridge,street_siddeley_street,street_southbank_boulevard,street_corrs_lane,street_domain_road,street_southgate_avenue,street_whiteman_street,street_newquay_promenade,street_drummond_street,street_liverpool_street,street_errol_street,street_star_crescent,street_pelham_street,street_st_kilda_road,street_albert_street,street_hardware_lane,street_victoria_parade,street_spring_street,street_alfred_place,street_hardware_street,street_heffernan_lane,street_kavanagh_street,street_little_la_trobe_street,street_rose_lane,street_sutherland_street,street_victoria_harbour_promenade,street_waterview_walk,street_docklands_drive,street_rosslyn_street,street_elgin_street,street_spencer_street,street_lorimer_street,street_queen_street,street_waratah_place,street_little_lonsdale_street,street_lonsdale_street,street_la_trobe_street,street_clarendon_street,street_a_beckett_street,street_therry_street,street_mckillop_street,on_best_street,on_worst_street
100041,1,2002,Takeaway,North Melbourne,Abbot's Seafood,253 Abbotsford Street NORTH MELBOURNE 3051,253 Abbotsford Street NORTH MELBOURNE 3051,Mixed,10,1,1-2 yrs,144.9454531679633,-37.80132776477555,1,FALSE,Closed Business,Use in All Analysis,Abbotsford Street,8,33.33333333333333,12,3,Low (3-4),FALSE,2,2,-1,0,0.6666666666666666,Very Low (1-5),1,0,2.3978952727983707,1,0,0,2,2,-1,0.02,0.6666666666666666,0,0,0,0,0,2.38590217291703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100084,2,2002,Takeaway,North Melbourne,La Dish Fine Foods,515 Abbotsford Street NORTH MELBOURNE 3051,515-517 Abbotsford Street NORTH MELBOURNE 3051,Mixed,28,1,1-2 yrs,144.94676212668315,-37.79420437857174,1,FALSE,Closed Business,Use in All Analysis,Abbotsford Street,8,33.33333333333333,12,3,Low (3-4),FALSE,1,1,-1,0,0.5,Very Low (1-5),1,0,3.367295829986474,1,0,0,1,1,-1,0.01,0.5,0,0,0,0,0,2.8149307509662833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100112,3,2002,Takeaway,North Melbourne,Papa Guiseppe Pizza & Pasta,340 Abbotsford Street NORTH MELBOURNE 3051,340-348 Abbotsford Street NORTH MELBOURNE 3051,Seats - Indoor,12,22,>12 yrs,144.94651642273988,-37.79872925911538,1,FALSE,Long-term Success (Operating),Use in All Analysis,Abbotsford Street,8,33.33333333333333,12,3,Low (3-4),FALSE,2,2,-1,0,0.6666666666666666,Very Low (1-5),22,0,2.5649493574615367,1,0,0,2,2,-1,0.02,0.6666666666666666,0,0,0,0,0,2.472471042198759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100153,4,2011,Cafes,Melbourne (CBD),Darac Grill & Bar,"Ground , 53 A'Beckett Street MELBOURNE 3000",51-53 A'Beckett Street MELBOURNE 3000,Mixed,49,13,>12 yrs,144.96207394880005,-37.80909563312389,1,FALSE,Long-term Success (Operating),Use in All Analysis,A'beckett Street,5.454545454545454,18.181818181818183,58,11,High (10+),FALSE,176,130,45,1,0.7344632768361582,Very High (>50),13,1,3.912023005428146,0,1,0,176,130,45,1.76,0.7344632768361582,1,1,0,0.42857142857142855,0,0.5127923936473292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
100167,5,2002,Cafes,Melbourne (CBD),Cafe 108,106 A'Beckett Street MELBOURNE 3000,106-116 A'Beckett Street MELBOURNE 3000,Mixed,118,13,>12 yrs,144.96002373685914,-37.80912864931696,1,FALSE,Long-term Success (Closed),Use in All Analysis,A'beckett Street,5.454545454545454,18.181818181818183,58,11,High (10+),FALSE,46,42,3,1,0.8936170212765957,High (31-50),13,1,4.77912349311153,0,0,1,46,42,3,0.46,0.8936170212765957,1,0,0,0,0,0.602438343294615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
100167,7,2015,Cafes,Melbourne (CBD),I Love Dumplings,106 A'Beckett Street MELBOURNE 3000,106-116 A'Beckett Street MELBOURNE 3000,Mixed,116,4,3-5 yrs,144.96001426700002,-37.80912726440698,1,FALSE,Closed Business,Use in All Analysis,A'beckett Street,5.454545454545454,18.181818181818183,58,11,High (10+),FALSE,195,166,28,1,0.8469387755102041,Very High (>50),4,1,4.762173934797756,0,0,1,195,166,28,1.95,0.8469387755102041,1,1,0,0.6190476190476191,1,0.6031612925948405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
100200,9,2002,Cafes,West Melbourne (Residential),Jimmy V's Gourmet Food & Coffee Bar,179 Adderley Street WEST MELBOURNE 3003,179-183 Adderley Street WEST MELBOURNE 3003,Mixed,36,14,>12 yrs,144.94607804718788,-37.809363133380614,1,FALSE,Long-term Success (Closed),Use in All Analysis,Adderley Street,8,50,44.5,2,Very Low (1-2),FALSE,6,4,1,0,0.5714285714285714,Low (6-15),14,1,3.6109179126442243,1,0,0,6,4,1,0.06,0.5714285714285714,0,0,0,0,0,1.9470865483046025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100200,10,2018,Cafes,West Melbourne (Residential),Toasta & Co,181 Adderley Street WEST MELBOURNE 3003,179-183 Adderley Street WEST MELBOURNE 3003,Mixed,53,2,1-2 yrs,144.94606851556006,-37.80936172175,1,FALSE,Closed Business,Use in All Analysis,Adderley Street,8,50,44.5,2,Very Low (1-2),FALSE,17,12,4,1,0.6666666666666666,Medium (16-30),2,1,3.9889840465642745,0,1,0,17,12,4,0.17,0.6666666666666666,0,0,0,0.7619047619047619,1,1.948151082491697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100338,11,2020,Takeaway,East Melbourne,East Side Story Cafe,Part Ground 486 Albert Street EAST MELBOURNE VIC 3002,486-492 Albert Street EAST MELBOURNE VIC 3002,Seats - Indoor,20,2,1-2 yrs,144.97444890215,-37.809005258542314,1,FALSE,Closed Business,Use in All Analysis,Albert Street,8.1875,25,49,16,High (10+),FALSE,36,4,31,1,0.10810810810810811,High (31-50),2,0,3.044522437723423,1,0,0,36,4,31,0.36,0.10810810810810811,1,0,0,0.8571428571428571,1,1.3590554114564075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100338,12,2018,Takeaway,East Melbourne,The Four,"Part Ground , 486-492 Albert Street EAST MELBOURNE 3002",486-492 Albert Street EAST MELBOURNE 3002,Seats - Indoor,20,2,1-2 yrs,144.97444890215,-37.809005258542314,1,FALSE,Closed Business,Use in All Analysis,Albert Street,8.1875,25,49,16,High (10+),FALSE,28,2,25,1,0.06896551724137931,Medium (16-30),2,0,3.044522437723423,1,0,0,28,2,25,0.28,0.06896551724137931,0,0,0,0.7619047619047619,1,1.3590554114564075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
